,index,"Population, total",Population growth (annual %),Urban population (% of total),Urban population,Urban population growth (annual %),Rural population (% of total population),Rural population,Rural population growth (annual %),GDP (current US$),GDP growth (annual %),Nitrous oxide emissions (thousand metric tons of CO2 equivalent),Methane emissions (kt of CO2 equivalent),Total greenhouse gas emissions (kt of CO2 equivalent),Other greenhouse gas emissions,CO2 emissions from solid fuel consumption (kt),CO2 emissions from liquid fuel consumption (kt),CO2 emissions from gaseous fuel consumption (kt),CO2 emissions (kt),CO2 emissions (metric tons per capita),CO2 emissions (kg per 2010 US$ of GDP),CO2 intensity (kg per kg of oil equivalent energy use),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Agricultural land (sq. km)
332,1988-08-01,5072735559.691182,1.7695344431180802,42.3112642770828,2146338548.7384913,2.65407435919936,57.6887357229172,2926397010.952691,2942401255.0,18705687365359.656,2.79798521626287,232601.78333333333,524174.1666666667,2956527.1328319334,394434.5161652709,714272.6224166667,735886.2260000001,285720.4166666667,1797116.9427500002,0.35221748734898495,0.05052219435136158,0.2080550215532875,122.4126641153075,154.99512712085502,40332415.45148462
333,1988-09-01,5080251172.953128,1.7695344431180802,42.3112642770828,2149518499.7277966,2.65407435919936,57.6887357229172,2930732673.2253313,2942401255.0,18867877436124.96,2.79798521626287,232601.78333333333,524174.1666666667,2956527.1328319334,394434.5161652709,714272.6224166667,735886.2260000001,285720.4166666667,1797116.9427500002,0.35221748734898495,0.05052219435136158,0.2080550215532875,122.4126641153075,154.99512712085502,40345632.133090295
334,1988-10-01,5087521610.869686,1.7695344431180802,42.3112642770828,2152594713.928773,2.65407435919936,57.6887357229172,2934926896.940913,2942401255.0,19010893298259.93,2.79798521626287,232601.78333333333,524174.1666666667,2956527.1328319334,394434.5161652709,714272.6224166667,735886.2260000001,285720.4166666667,1797116.9427500002,0.35221748734898495,0.05052219435136158,0.2080550215532875,122.4126641153075,154.99512712085502,40356808.15927215
335,1988-11-01,5095030750.642141,1.7695344431180802,42.3112642770828,2155771925.902832,2.65407435919936,57.6887357229172,2939258824.73931,2942401255.0,19141827972590.973,2.79798521626287,232601.78333333333,524174.1666666667,2956527.1328319334,394434.5161652709,714272.6224166667,735886.2260000001,285720.4166666667,1797116.9427500002,0.35221748734898495,0.05052219435136158,0.2080550215532875,122.4126641153075,154.99512712085502,40366411.66948898
336,1988-12-01,5102293348.0,1.7695344431180802,42.3112642770828,2158844822.664296,2.65407435919936,57.6887357229172,2943448525.3357043,2942401255.0,19249897125271.9,2.79798521626287,232601.78333333333,524174.1666666667,2956527.1328319334,394434.5161652709,714272.6224166667,735886.2260000001,285720.4166666667,1797116.9427500002,0.35221748734898495,0.05052219435136158,0.2080550215532875,122.4126641153075,154.99512712085502,40373557.9996726
337,1989-01-01,5109793332.720349,1.73788271179582,42.6660286761518,2180145888.630557,2.5907433045076003,57.3339713238482,2929647444.0897927,2975122557.0,19341006413648.25,1.90471287034329,236695.07499999998,535828.3333333334,3009082.637683142,398909.22934981,725930.6265833332,750247.4203333333,300082.8333333333,1835782.0963333333,0.35364946938057745,0.04977944287829017,0.20846259354359334,122.94737875674167,158.10822768937246,40378635.71780794
338,1989-02-01,5117290576.0755825,1.73788271179582,42.6660286761518,2183344664.6304216,2.5907433045076003,57.3339713238482,2933945911.4451613,2975122557.0,19414428413042.273,1.90471287034329,236695.07499999998,535828.3333333334,3009082.637683142,398909.22934981,725930.6265833332,750247.4203333333,300082.8333333333,1835782.0963333333,0.35364946938057745,0.04977944287829017,0.20846259354359334,122.94737875674167,158.10822768937246,40382029.6023866
339,1989-03-01,5124062094.934403,1.73788271179582,42.6660286761518,2186233802.808537,2.5907433045076003,57.3339713238482,2937828292.125866,2975122557.0,19469157551286.438,1.90471287034329,236695.07499999998,535828.3333333334,3009082.637683142,398909.22934981,725930.6265833332,750247.4203333333,300082.8333333333,1835782.0963333333,0.35364946938057745,0.04977944287829017,0.20846259354359334,122.94737875674167,158.10822768937246,40384354.71584425
340,1989-04-01,5131561333.152005,1.73788271179582,42.6660286761518,2189433429.936952,2.5907433045076003,57.3339713238482,2942127903.215053,2975122557.0,19520923928370.88,1.90471287034329,236695.07499999998,535828.3333333334,3009082.637683142,398909.22934981,725930.6265833332,750247.4203333333,300082.8333333333,1835782.0963333333,0.35364946938057745,0.04977944287829017,0.20846259354359334,122.94737875674167,158.10822768937246,40386892.002696425
341,1989-05-01,5138823239.83032,1.73788271179582,42.6660286761518,2192531797.1227574,2.5907433045076003,57.3339713238482,2946291442.707563,2975122557.0,19566149119101.582,1.90471287034329,236695.07499999998,535828.3333333334,3009082.637683142,398909.22934981,725930.6265833332,750247.4203333333,300082.8333333333,1835782.0963333333,0.35364946938057745,0.04977944287829017,0.20846259354359334,122.94737875674167,158.10822768937246,40390084.907853216
