,Unnamed: 0,id,time,airtemp_level1000,pr_wtr,pres,rhum,omega,uwnd,vwnd,wspd,date,"Population, total",Urban population,Rural population,GDP (current US$),Nitrous oxide emissions (thousand metric tons of CO2 equivalent),Methane emissions (kt of CO2 equivalent),Total greenhouse gas emissions (kt of CO2 equivalent),Other greenhouse gas emissions,CO2 emissions from solid fuel consumption (kt),CO2 emissions from liquid fuel consumption (kt),CO2 emissions from gaseous fuel consumption (kt),CO2 emissions (kt),CO2 emissions (metric tons per capita),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Agricultural land (sq. km)
1954488,1954488,5786,2015-10-01,26.783046750000004,21.13024275,987.4743800000001,31.57258,-0.004820619075,-1.0510069935000002,-0.6358861925,3.458228125,2015-10-01,195570.68499813226,47346.051318985614,148224.63367914667,1139297491.1614265,5.535354093363495,53.96239572671912,197.7776589695948,171.44891979902118,0.052294242200299684,0.052294242200299684,32.88000478343843,0.02856167157656957,0.02856167157656957,8.640688240100838,6.249621303283075,6616.284065674678
1954489,1954489,5786,2015-11-01,18.99561175,16.299999999999994,990.800035,46.02500000000001,-0.007383389350000002,0.09229270499999992,-1.3452072025,3.217380625,2015-11-01,195181.5496036969,47260.957916122454,147920.59168757452,1133409401.4090953,5.535354093363495,53.96239572671912,197.7776589695948,171.44891979902118,0.052294242200299684,0.052294242200299684,32.88000478343843,0.02856167157656957,0.02856167157656957,8.640688240100838,6.249621303283075,6616.284065674678
1954490,1954490,5786,2015-12-01,13.4126925,12.196572999999999,997.4544050000001,58.72379,-0.028931493175,0.2794364825,-2.409676575,3.621593475,2015-12-01,194804.7906350733,47178.51196541626,147626.2786696571,1127711250.0358713,5.535354093363495,53.96239572671912,197.7776589695948,171.44891979902118,0.052294242200299684,0.052294242200299684,32.88000478343843,0.02856167157656957,0.02856167157656957,8.640688240100838,6.249621303283075,6616.284065674678
1954491,1954491,5786,2016-01-01,13.562489250000002,10.7421365,994.818925,41.2177435,0.0012297845,1.0806460935,0.14012204,3.844762575,2016-01-01,194415.34669031342,47093.225433354804,147322.12125695866,1121823160.2835398,4.960921380047584,61.26141413800039,217.76582997283515,167.89640965402032,0.052294242200299684,0.052294242200299684,33.089181752239625,0.033628300215198664,0.033628300215198664,8.88829262768574,5.909960996968268,6614.144950231524
1954492,1954492,5786,2016-02-01,17.639643500000005,10.23944025,991.8439574999999,35.842672,-0.013344893775,-0.8165937407499999,0.30689723500000005,4.329720325,2016-02-01,194025.82077386105,47007.85236989912,147017.9684039619,1164893970.1498866,4.960921380047584,61.26141413800039,217.76582997283515,167.89640965402032,0.052294242200299684,0.052294242200299684,33.089181752239625,0.033628300215198664,0.033628300215198664,8.88829262768574,5.909960996968268,6614.144950231524
1954493,1954493,5786,2016-03-01,22.45683975,12.429436499999998,984.81574,22.79435525,-0.02055247575,-1.0461682725,-0.5727811275,4.7696481,2016-03-01,193661.35662067565,46927.91151867499,146733.44510200064,1205186018.0893724,4.960921380047584,61.26141413800039,217.76582997283515,167.89640965402032,0.052294242200299684,0.052294242200299684,33.089181752239625,0.033628300215198664,0.033628300215198664,8.88829262768574,5.909960996968268,6614.144950231524
1954494,1954494,5786,2016-04-01,28.86394175,13.881667000000002,984.199385,17.4854165,-0.007698020750000001,-0.9410406853,0.31187604750000003,4.3605632000000005,2016-04-01,193271.67894329526,46842.378247876884,146429.30069541847,1248256827.9557195,4.960921380047584,61.26141413800039,217.76582997283515,167.89640965402032,0.052294242200299684,0.052294242200299684,33.089181752239625,0.033628300215198664,0.033628300215198664,8.88829262768574,5.909960996968268,6614.144950231524
1954495,1954495,5786,2016-05-01,31.31430175,17.713709499999997,984.3999775,18.42137075,-0.02115129225,-1.3131040975,-1.449192425,4.43583435,2016-05-01,192894.49045528047,46759.5277826753,146134.96267260527,1289938256.858636,4.960921380047584,61.26141413800039,217.76582997283515,167.89640965402032,0.052294242200299684,0.052294242200299684,33.089181752239625,0.033628300215198664,0.033628300215198664,8.88829262768574,5.909960996968268,6614.144950231524
1954496,1954496,5786,2016-06-01,35.308109,16.60749975,983.0422375,17.0312505,-0.0327959135,-1.36749894,-2.7643738749999995,4.490351750000001,2016-06-01,192504.64076599933,46673.83849834199,145830.8022676574,1333009066.7249827,4.960921380047584,61.26141413800039,217.76582997283515,167.89640965402032,0.052294242200299684,0.052294242200299684,33.089181752239625,0.033628300215198664,0.033628300215198664,8.88829262768574,5.909960996968268,6614.144950231524
1954497,1954497,5786,2016-07-01,32.290914,18.91491925,983.0499325,26.433467999999998,-0.040645252,-0.27177311,-4.493144225,4.843708,2016-07-01,192127.27716900766,46590.84040100454,145536.43676800316,1374690495.627899,4.960921380047584,61.26141413800039,217.76582997283515,167.89640965402032,0.052294242200299684,0.052294242200299684,33.089181752239625,0.033628300215198664,0.033628300215198664,8.88829262768574,5.909960996968268,6614.144950231524
